x1::OSD,x2::Dint,x3::L,x4::tm,x5::hs2,x6::wt,x7::Nt,x8::Nh,m1::Drot,m2::Dsh,m3::he,m4::Rmag,m5::Rs,m6::GFF,p1::W,p2::Tnom,p3::nnom,p4::GFF,p5::BSP_T,p6::BSP_n,p7::BSP_Pm,p8::BSP_Mu,p9::BSP_Irms,p10::MSP_n,p11::UWP_Mu
48.6,27.864,14.8,2.780311,6.312467,4.3923254,6,4,26.864,13.342235,4.055533,12.736922,20.244467,34.168827,0.3220736,0.11,3960.0,40.082718,0.1706063,17113.234,305.74252,90.763855,10.070335,18223.32,86.13815
59.4,24.056,29.2,2.1212444,10.249868,2.5693011,12,3,23.056,11.940368,7.422132,10.997689,22.277868,22.423594,0.6747987,0.11,3960.0,24.67578,0.4128522,4913.548,212.43124,87.07682,7.5581355,5737.1406,88.79988
54.72,32.0528,22.960001,2.4569263,7.797124,2.1238132,18,3,31.0528,16.981005,3.5364761,14.9121685,23.823524,34.12154,0.5355536,0.11,3960.0,42.65237,0.5381888,3806.537,214.53262,83.929474,7.553457,4325.1235,83.40234
48.84,21.9616,25.12,3.0320725,6.972909,2.557345,14,3,20.9616,8.622712,6.4662914,9.722782,17.953709,49.140854,0.4876188,0.11,3960.0,57.017277,0.3809195,5161.0967,205.87508,87.04031,7.554095,6293.4336,91.34349
59.76,27.1024,29.680002,3.2495348,8.141503,4.8021383,10,3,26.1024,11.859788,8.187296,12.238816,21.692703,34.091393,0.7498443,0.11,3960.0,37.44487,0.4291272,4961.4146,222.95651,89.36369,7.5540986,5615.511,91.807846
55.224,31.55776,17.632002,2.8368785,7.8592663,3.907924,16,3,30.55776,15.8675,3.9738538,14.56966,23.638145,38.995613,0.4608045,0.11,3960.0,45.69534,0.4877786,4143.4717,211.64874,86.91331,7.5499463,4911.1543,90.34042
55.464,25.65536,27.952002,3.0890722,9.787024,3.396482,15,5,24.65536,11.147113,5.1172967,11.555412,22.614704,53.330288,0.6836921,0.11,3960.0,58.52011,0.9273295,3119.3943,302.9235,84.31107,12.578247,4277.6562,91.21023
52.584,25.08416,24.112,3.0636134,9.188567,3.1791346,5,8,24.08416,10.7900305,4.5613527,11.276176,21.730648,30.760027,0.5051515,0.11,3960.0,34.11949,0.405016,13731.718,582.40576,91.56188,20.14069,15493.518,89.428375
55.584,34.60416,18.112001,2.465169,5.750902,3.140761,14,3,33.60416,18.786919,4.739018,16.185787,23.052982,40.269554,0.4810503,0.11,3960.0,55.54284,0.4514177,4762.5103,225.13509,88.159096,7.550183,5317.826,89.18133
59.904,23.56096,23.872002,2.5011966,10.31201,4.353412,10,3,22.56096,10.826863,7.85951,10.655181,22.09249,26.380232,0.6106266,0.11,3960.0,27.898024,0.2835331,7299.7075,216.73943,89.53882,7.5412583,8431.612,89.94862
54.648,21.92352,10.864001,2.8310955,11.711871,2.348176,17,3,20.92352,8.997466,4.650369,9.753986,22.673632,27.604988,0.3145731,0.11,3960.0,29.684505,0.1878155,9787.614,192.50275,86.18044,7.553541,12218.933,82.74557
58.848,25.73152,26.464,3.4901621,7.77447,4.1712003,12,4,24.73152,10.399333,8.783771,11.493219,20.64023,54.93674,0.7092778,0.11,3960.0,61.20347,0.574377,4614.1377,277.534,88.334625,10.070908,5615.437,92.71753
55.608,22.11392,22.144003,2.3398697,9.422899,3.302408,13,4,21.11392,10.115917,7.3241405,9.9719925,20.47986,45.601788,0.5506915,0.11,3960.0,49.351364,0.4210546,5797.1406,255.61176,87.51608,10.069986,7617.582,91.75114
58.992,22.19008,20.656,2.741824,9.944976,3.722474,12,4,21.19008,9.366409,8.455984,9.909584,21.040016,42.124336,0.5706222,0.11,3960.0,44.92812,0.3657968,6817.2285,261.14178,88.547966,10.070383,8768.281,91.36411
56.112,21.61888,16.816002,2.718958,6.9504113,2.4411707,9,4,20.61888,9.004142,10.296148,9.629701,17.759851,42.084625,0.4518918,0.11,3960.0,48.915054,0.2107113,13074.86,288.50516,90.84263,10.070164,15031.171,87.02265
59.712,28.28288,21.616001,3.4984047,5.728248,2.188148,9,4,27.28288,12.205248,9.986312,12.766839,19.869688,38.307602,0.6041744,0.11,3960.0,51.283867,0.3309683,8847.87,306.65765,89.54479,10.071352,9470.582,88.06546
59.352,25.23648,21.136002,2.3701143,7.836612,2.9553113,10,4,24.23648,12.285829,9.221148,11.525711,20.454851,36.637356,0.5776563,0.11,3960.0,42.092182,0.3626957,7613.381,289.16693,90.197945,10.068724,8800.345,90.86435
48.696,25.50304,30.928,2.2808428,6.069718,4.3296094,5,6,24.50304,12.654772,5.5267625,11.68131,18.821238,51.403877,0.5703892,0.11,3960.0,59.55769,0.4077077,10798.037,461.02277,93.029015,15.107108,11807.496,92.09692
58.896,24.55104,34.528,3.2412922,10.187725,3.78519,13,3,23.55104,10.053873,6.984755,10.965197,22.463245,29.515732,0.7954605,0.11,3960.0,31.762243,0.5678965,3464.7356,206.04778,85.71611,7.5556126,4230.358,90.511765
59.496,21.69504,15.328001,3.121776,10.007119,2.5065851,11,5,20.69504,8.252905,8.893361,9.567076,20.85464,38.838272,0.4718622,0.11,3960.0,42.368114,0.2901139,10657.149,323.77118,89.54605,12.57028,13470.569,88.63247
50.976,28.93024,23.968,2.4253857,5.5814657,4.503752,7,4,27.93024,14.813686,5.4414144,13.358773,20.046585,45.319965,0.5010507,0.11,3960.0,55.252525,0.3466283,8504.997,308.72144,92.03722,10.063265,9236.6045,91.563286
49.9248,23.842752,15.3664,2.7913654,7.861438,3.5018406,15,3,22.842752,10.447806,5.1795864,10.723535,19.782814,48.835403,0.3655368,0.11,3960.0,54.577274,0.2799283,6981.27,204.64914,88.01674,7.545494,8578.06,89.70687
56.6448,25.175552,34.3264,2.3480325,7.8981724,4.632049,10,4,24.175552,12.286472,7.8364515,11.500768,20.485949,51.487625,0.8026524,0.11,3960.0,56.275074,0.6005292,4502.8853,283.17416,88.78444,10.071391,5374.387,92.48897
57.9648,28.412352,16.0864,2.9833689,8.431576,2.528422,25,3,27.412352,13.3278,6.344648,12.960334,22.637753,51.162155,0.5026497,0.11,3960.0,60.054466,0.5426725,3423.0073,194.52448,81.93445,7.5534983,4251.807,90.62313
56.2848,22.129152,33.8464,2.719742,10.006537,2.3992124,11,4,21.129152,9.367053,7.071287,9.884641,21.071114,29.931236,0.7156452,0.11,3960.0,32.81218,0.5299151,4935.7334,273.8966,87.27485,10.078803,5959.7104,89.36415
57.1488,24.680511,28.998402,2.7271204,5.4256845,3.7708123,6,3,23.680511,11.174696,10.808459,11.158476,17.76594,33.035805,0.6837436,0.11,3960.0,39.915775,0.2193384,10199.129,234.26447,91.869125,7.5527787,10879.723,89.92095
